Tip_label,Family,Order,Clade,Class,Phylum
PF_Amphimedon_queenslandica,Niphatidae,Haplosclerida,Porifera,Demospongiae,Porifera
CN_Nematostella_vectensis,Edwardsiidae,Actiniaria,Cnidaria,Anthozoa,Cnidaria
ED_Anneissia_japonica,Comatulidae,Comatulida,Echinodermata,Crinoidea,Echinodermata
PH_Echinococcus_granulosus,Taeniidae,Cyclophyllidea,Platyhelminthes,Cestoda,Platyhelminthes
PH_Opisthorchis_felineus,Opisthorchiidae,Opisthorchiida,Platyhelminthes,Trematoda,Platyhelminthes
ML_Mercenaria_mercenaria,Veneridae,Venerida,Mollusca,Bivalvia,Mollusca
ML_Octopus_sinensis,Octopodidae,Octopoda,Mollusca,Cephalopoda,Mollusca
ML_Acanthochitona_rubrolineata,Acanthochitonidae,Chitonida,Mollusca,Polyplacophora,Mollusca
AN_Helobdella_robusta,Glossiphoniidae,Rhynchobdellida,Annelida,Clitellata,Annelida
KR_Pycnophyes_sp,Pycnophyidae,Allomalorhagida,Kinorhyncha,Allomalorhagida,Kinorhyncha
PA_Priapulus_caudatus,Priapulidae,Priapulimorphida,Priapulida,Priapulimorpha,Priapulida
PA_Meiopriapulus_fijiensis,Tubiluchidae,Priapulimorphida,Priapulida,Priapulimorpha,Priapulida
NM_Gordius_sp,Gordiidae,Gordea,Nematomorpha,Gordioida,Nematomorpha
NM_Paragordius_varius,Gordiidae,Gordea,Nematomorpha,Gordioida,Nematomorpha
NM_Nectonema_munidae,Nectonematidae,Nectonematoida,Nematomorpha,Nectonematoida,Nematomorpha
OP_Epiperipatus_trinidadensis,Peripatidae,Euonychophora,Onychophora,Udeonychophora,Onychophora
TG_Hypsibius_dujardini,Hypsibiidae,Parachela,Tardigrada,Eutardigrada,Tardigrada
TG_Ramazzottius_varieornatus,Ramazzottiidae,Parachela,Tardigrada,Eutardigrada,Tardigrada
TG_Richtersius_coronifer,Richtersiusidae,Parachela,Tardigrada,Eutardigrada,Tardigrada
AP_Stegodyphus_dumicola,Eresidae,Araneae,Arthropoda,Arachnida,Arthropoda
AP_Daphnia_magna,Daphniidae,Diplostraca,Arthropoda,Branchiopoda,Arthropoda
AP_Sinella_curviseta,Entomobryidae,Entomobryomorpha,Arthropoda,Collembola,Arthropoda
AP_Megajapyx_major,Japygidae,Diplura,Arthropoda,Entognatha,Arthropoda
AP_Machilis_hrabei,Machilidae,Archaeognatha,Arthropoda,Insecta,Arthropoda
AP_Tribolium_castaneum,Tenebrionidae,Coleoptera,Arthropoda,Insecta,Arthropoda
AP_Timema_cristinae,Timematidae,Phasmatodea,Arthropoda,Insecta,Arthropoda
AP_Eriocheir_sinensis,Varunidae,Decapoda,Arthropoda,Malacostraca,Arthropoda
AP_Meridionale_flava,Callipallenidae,Pantopoda,Arthropoda,Pycnogonida,Arthropoda
Odontophora_sp,Axonolaimidae,Araeolaimida,Chromadoria (basal),Araeolaimida,Chromadoria
Dorylaimopsis_sp,Comesomatidae,Araeolaimida,Chromadoria (basal),Araeolaimida,Chromadoria
Euchromadora_sp,Chromadoridae,Chromadorida,Chromadoria (basal),Chromadorida,Chromadoria
Pomponema_sp,Cyatholaimidae,Chromadorida,Chromadoria (basal),Chromadorida,Chromadoria
Halichoanolaimus_dolichurus,Selachinematidae,Chromadorida,Chromadoria (basal),Chromadorida,Chromadoria
Chromadoropsis_vivipara,Desmodoridae,Desmodorina,Chromadoria (basal),Desmodorida,Chromadoria
Laxus_oneistus,Desmodoridae,Desmodorina,Chromadoria (basal),Desmodorida,Chromadoria
Leptonemella_sp,Desmodoridae,Desmodorina,Chromadoria (basal),Desmodorida,Chromadoria
Stilbonema_sp,Desmodoridae,Desmodorina,Chromadoria (basal),Desmodorida,Chromadoria
Paradraconema_sp,Draconematidae,Desmodorina,Chromadoria (basal),Desmodorida,Chromadoria
Tricoma_sp,Desmoscolecidae,Desmoscolecida,Chromadoria (basal),Desmoscolecida,Chromadoria
Linhomoeidae_sp,Linhomoeidae,Linhomoeina,Chromadoria (basal),Monhysterida,Chromadoria
Siphonolaimus_sp,Siphonolaimidae,Linhomoeina,Chromadoria (basal),Monhysterida,Chromadoria
Gammarinema_sp,Monhysteridae,Monhysterina,Chromadoria (basal),Monhysterida,Chromadoria
Halomonhystera_disjuncta,Monhysteridae,Monhysterina,Chromadoria (basal),Monhysterida,Chromadoria
Halomonhystera_sp,Monhysteridae,Monhysterina,Chromadoria (basal),Monhysterida,Chromadoria
Monhystera_sp,Monhysteridae,Monhysterina,Chromadoria (basal),Monhysterida,Chromadoria
Sphaerolaimus_sp,Sphaerolaimidae,Monhysterina,Chromadoria (basal),Monhysterida,Chromadoria
Ceramonema_sp,Ceramonematidae,Ceramonematina,Chromadoria (basal),Plectida,Chromadoria
Neocamacolaimus_parasiticus,Camacolaimidae,Plectina,Chromadoria (basal),Plectida,Chromadoria
Stephanolaimus_elegans,Camacolaimidae,Plectina,Chromadoria (basal),Plectida,Chromadoria
Anaplectus_granulosus,Plectidae,Plectina,Chromadoria (basal),Plectida,Chromadoria
Plectus_sambesii,Plectidae,Plectina,Chromadoria (basal),Plectida,Chromadoria
Bunonema_sp,Bunonematidae,Bunonematomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Allodiplogaster_sudhausi,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Levipalatum_texanum,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Micoletzkya_japonica,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Micoletzkya_masseyi,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Parapristionchus_giblindavisi,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Diplogasteroides_magnus,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Koerneria_luziae,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Pristionchus_exspectatus,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Pristionchus_mayeri,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Pristionchus_pacificus,Diplogastridae,Diplogastromorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Caenorhabditis_briggsae,Rhabditidae,Rhabditomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Caenorhabditis_elegans,Rhabditidae,Rhabditomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Caenorhabditis_remanei,Rhabditidae,Rhabditomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Diploscapter_coronatus,Rhabditidae,Rhabditomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Diploscapter_pachys,Rhabditidae,Rhabditomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Oscheius_sp,Rhabditidae,Rhabditomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Oscheius_tipulae,Rhabditidae,Rhabditomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Poikilolaimus_oxycercus,Rhabditidae,Rhabditomorpha,Rhabditina (Clade V),Rhabditida,Chromadoria
Ancylostoma_caninum,Ancylostomatidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Ancylostoma_ceylanicum,Ancylostomatidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Ancylostoma_duodenale,Ancylostomatidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Necator_americanus,Ancylostomatidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Angiostrongylus_cantonensis,Angiostrongylidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Angiostrongylus_costaricensis,Angiostrongylidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Oesophagostomum_dentatum,Chabertiidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Cooperia_punctata,Cooperiidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Dictyocaulus_viviparus,Dictyocaulidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Haemonchus_contortus,Haemonchidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Haemonchus_placei,Haemonchidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Teladorsagia_circumcincta,Haemonchidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Nippostrongylus_brasiliensis,Heligmonellidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Heligmosomoides_polygyrus,Heligmosomatidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Parelaphostrongylus_tenuis,Protostrongylidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
Cylicostephanus_goldi,Strongylidae,Strongyloidea,Rhabditina (Clade V),Rhabditida,Chromadoria
